iter	Passed	Remaining
768	2037	612
769	2040	609
770	2042	606
771	2044	603
772	2046	601
773	2048	598
774	2051	595
775	2053	592
776	2055	589
777	2057	587
778	2059	584
779	2061	581
780	2064	578
781	2066	576
782	2068	573
783	2070	570
784	2073	567
785	2075	565
786	2077	562
787	2079	559
788	2081	556
789	2084	553
790	2086	551
791	2088	548
792	2090	545
793	2093	543
794	2096	540
795	2099	537
796	2101	535
797	2103	532
798	2105	529
799	2107	526
800	2110	524
801	2112	521
802	2114	518
803	2117	516
804	2119	513
805	2121	510
806	2123	507
807	2125	505
808	2127	502
809	2130	499
810	2132	496
811	2134	494
812	2137	491
813	2139	488
814	2142	486
815	2144	483
816	2146	480
817	2148	478
818	2151	475
819	2153	472
820	2157	470
821	2160	467
822	2162	465
823	2164	462
824	2167	459
825	2169	456
826	2171	454
827	2173	451
828	2176	448
829	2178	446
830	2181	443
831	2183	440
832	2185	438
833	2188	435
834	2190	432
835	2192	430
836	2195	427
837	2197	424
838	2199	422
839	2202	419
840	2204	416
841	2206	414
842	2209	411
843	2211	408
844	2213	406
845	2215	403
846	2218	400
847	2220	398
848	2223	395
849	2225	392
850	2227	390
851	2229	387
852	2232	384
853	2234	381
854	2236	379
855	2238	376
856	2240	373
857	2242	371
858	2245	368
859	2247	365
860	2249	363
861	2252	360
862	2254	357
863	2256	355
864	2258	352
865	2261	349
866	2263	347
867	2265	344
868	2268	341
869	2270	339
870	2272	336
871	2275	333
872	2278	331
873	2280	328
874	2282	326
875	2285	323
876	2287	320
877	2289	318
878	2291	315
879	2293	312
880	2296	310
881	2298	307
882	2300	304
883	2302	302
884	2305	299
885	2307	296
886	2309	294
887	2311	291
888	2313	288
889	2316	286
890	2318	283
891	2320	280
892	2322	278
893	2324	275
894	2326	272
895	2329	270
896	2331	267
897	2333	265
898	2335	262
899	2337	259
900	2340	257
901	2342	254
902	2344	251
903	2346	249
904	2348	246
905	2350	243
906	2353	241
907	2355	238
908	2357	236
909	2359	233
910	2361	230
911	2363	228
912	2366	225
913	2368	222
914	2370	220
915	2372	217
916	2374	214
917	2377	212
918	2379	209
919	2381	207
920	2384	204
921	2386	201
922	2388	199
923	2391	196
924	2393	194
925	2395	191
926	2398	188
927	2400	186
928	2402	183
929	2405	181
930	2407	178
931	2410	175
932	2412	173
933	2414	170
934	2416	167
935	2418	165
936	2420	162
937	2422	160
938	2425	157
939	2427	154
940	2429	152
941	2432	149
942	2434	147
943	2436	144
944	2438	141
945	2441	139
946	2443	136
947	2446	134
948	2448	131
949	2450	128
950	2453	126
951	2455	123
952	2457	121
953	2460	118
954	2462	116
955	2464	113
956	2466	110
957	2469	108
958	2471	105
959	2474	103
960	2476	100
961	2479	97
962	2481	95
963	2483	92
964	2485	90
965	2487	87
966	2490	84
967	2492	82
968	2495	79
969	2497	77
970	2499	74
971	2502	72
972	2504	69
973	2506	66
974	2508	64
975	2511	61
976	2514	59
977	2517	56
978	2519	54
979	2522	51
980	2524	48
981	2526	46
982	2528	43
983	2531	41
984	2533	38
985	2535	36
986	2538	33
987	2540	30
988	2543	28
989	2545	25
990	2547	23
991	2550	20
992	2552	17
993	2554	15
994	2556	12
995	2558	10
996	2561	7
997	2563	5
998	2566	2
999	2568	0
